Detail,Value,ds,amount_paid,reading_fee_paid,payable_amount,Coupon_Discount,subscription_id,id,day_of_week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Coupon_Discount,Coupon_Discount_lower,Coupon_Discount_upper,additive_terms,additive_terms_lower,additive_terms_upper,amount_paid,amount_paid_lower,amount_paid_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,id,id_lower,id_upper,payable_amount,payable_amount_lower,payable_amount_upper,reading_fee_paid,reading_fee_paid_lower,reading_fee_paid_upper,subscription_id,subscription_id_lower,subscription_id_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
,,2024-09-16,26491.700729927008,26520.175182481755,31055.693430656935,5136.759124087592,4715043.671532848,23358276.562043797,0,2024-09-16,680.3012598749636,134701.72131783538,136846.81211251172,678.9410633050425,682.0813061392265,0.861799662142938,0.861799662142938,0.861799662142938,135106.9300629346,135106.9300629346,135106.9300629346,-348.1197093732906,-348.1197093732906,-348.1197093732906,-138.72484,-138.72484,-138.72484,135177.76762145507,135177.76762145507,135177.76762145507,135506.02502962516,135506.02502962516,135506.02502962516,32.57311547552174,32.57311547552174,32.57311547552174,-59.258683542644036,-59.258683542644036,-59.258683542644036,45.68606960817907,45.68606960817907,45.68606960817907,120.8012121472804,120.8012121472804,120.8012121472804,-52.91393066773654,-52.91393066773654,-52.91393066773654,0.0,0.0,0.0,135787.2313228096
,,2024-09-17,18594.598540145984,18499.299270072992,22903.10218978102,3032.598540145985,16827938.91240876,23358288.087591242,1,2024-09-17,680.24054365639,134425.05820584306,136637.87015804983,678.7743199837905,682.1038510834408,1.573373064686491,1.573373064686491,1.573373064686491,134830.62766847826,134830.62766847826,134830.62766847826,-492.94976869538004,-492.94976869538004,-492.94976869538004,-138.72484,-138.72484,-138.72484,134991.42767271725,134991.42767271725,134991.42767271725,135505.93920822025,135505.93920822025,135505.93920822025,45.34488216590725,45.34488216590725,45.34488216590725,-85.5103361296494,-85.5103361296494,-85.5103361296494,17.030314091419285,17.030314091419285,17.030314091419285,20.279513302096408,20.279513302096408,20.279513302096408,-42.35467754108086,-42.35467754108086,-42.35467754108086,0.0,0.0,0.0,135510.86821213466
,,2024-09-18,18261.299270072992,17565.401459854016,21045.19708029197,3098.4671532846714,18112785.17518248,23358296.927007303,2,2024-09-18,680.1798274378162,134418.7293783698,136652.24372929853,678.5187503948907,682.2305569392537,1.5510979809644492,1.5510979809644492,1.5510979809644492,134801.9724447698,134801.9724447698,134801.9724447698,-499.0623593516268,-499.0623593516268,-499.0623593516268,-138.72484,-138.72484,-138.72484,134982.04140285257,134982.04140285257,134982.04140285257,135505.8733882574,135505.8733882574,135505.8733882574,48.25545745297633,48.25545745297633,48.25545745297633,-88.56690515444944,-88.56690515444944,-88.56690515444944,13.990723667288467,13.990723667288467,13.990723667288467,-10.683303753226504,-10.683303753226504,-10.683303753226504,-30.660814329540372,-30.660814329540372,-30.660814329540372,0.0,0.0,0.0,135482.15227220763
,,2024-09-19,26639.905109489053,27866.71532846716,33060.01459854015,5659.708026277373,22488211.562043793,23358306.7810219,3,2024-09-19,680.1191112192427,134745.26040483892,136894.7297130144,678.3076745563128,682.3122117675325,0.6849516912573066,0.6849516912573066,0.6849516912573066,135056.93402521167,135056.93402521167,135056.93402521167,-345.4016935026666,-345.4016935026666,-345.4016935026666,-138.72484,-138.72484,-138.72484,135139.3045436212,135139.3045436212,135139.3045436212,135505.80001340204,135505.80001340204,135505.80001340204,29.433166277473255,29.433166277473255,29.433166277473255,-54.85157084162625,-54.85157084162625,-54.85157084162625,3.6396765947133733,3.6396765947133733,3.6396765947133733,74.47378499966689,74.47378499966689,74.47378499966689,-18.119463409205448,-18.119463409205448,-18.119463409205448,0.0,0.0,0.0,135737.0531364309
,,2024-09-20,16284.036496350365,16300.437956204378,17626.934306569343,2658.394160583942,4075984.211678833,23358318.846715327,4,2024-09-20,680.0583950006688,134520.8169069827,136647.6528600101,678.1282639046656,682.3649167492371,1.6999194345994122,1.6999194345994122,1.6999194345994122,134941.5255931772,134941.5255931772,134941.5255931772,-535.3246588548762,-535.3246588548762,-535.3246588548762,-138.72484,-138.72484,-138.72484,134980.18678670935,134980.18678670935,134980.18678670935,135505.71016996808,135505.71016996808,135505.71016996808,53.61047321943894,53.61047321943894,53.61047321943894,-92.70702436283638,-92.70702436283638,-92.70702436283638,47.19790730495461,47.19790730495461,47.19790730495461,105.10332713998231,105.10332713998231,105.10332713998231,-5.039680672128689,-5.039680672128689,-5.039680672128689,0.0,0.0,0.0,135621.58398817788
,,2024-09-21,19083.396350364965,18583.74302189781,21253.585401459855,3286.957664233577,16428852.656934306,21022494.076642334,5,2024-09-21,679.9976787820951,151605.72902950176,153807.02945522222,677.988762233512,682.5981151999476,1.4873553012247513,1.4873553012247513,1.4873553012247513,152050.77527532278,152050.77527532278,152050.77527532278,-483.9853898448532,-483.9853898448532,-483.9853898448532,-138.72484,-138.72484,-138.72484,152396.87438430282,152396.87438430282,152396.87438430282,152898.70293760468,152898.70293760468,152898.70293760468,47.92899842414473,47.92899842414473,47.92899842414473,-85.23395882868418,-85.23395882868418,-85.23395882868418,17.974441646356198,17.974441646356198,17.974441646356198,-215.62938228929085,-215.62938228929085,-215.62938228929085,8.25511330924548,8.25511330924548,8.25511330924548,0.0,0.0,0.0,152730.77295410488
,,2024-09-22,13015.491240875912,12921.970099270075,14375.246715328467,1929.3437627737226,20241724.664233577,21022503.378832117,6,2024-09-22,679.9369625635214,151652.79877626587,153824.55739515237,677.8498537951335,682.6235405818841,1.9464656707349455,1.9464656707349455,1.9464656707349455,152057.57089516846,152057.57089516846,152057.57089516846,-595.2686220797495,-595.2686220797495,-595.2686220797495,-138.72484,-138.72484,-138.72484,152269.20582611838,152269.20582611838,152269.20582611838,152898.6336717412,152898.6336717412,152898.6336717412,58.704533995738586,58.704533995738586,58.704533995738586,-103.76446564794523,-103.76446564794523,-103.76446564794523,8.95424243839507,8.95424243839507,8.95424243839507,-94.34515154723528,-94.34515154723528,-94.34515154723528,21.435060597290985,21.435060597290985,21.435060597290985,0.0,0.0,0.0,152737.50785773198
,,2024-09-23,32891.21167883212,33375.38686131387,40554.31386861314,6590.963503649635,18283869.664233577,23358346.277372263,0,2024-09-23,679.8762463449477,134891.96056844047,136995.33368294244,677.5980453117689,682.6613728021471,0.3700248583300481,0.3700248583300481,0.3700248583300481,135285.82582450527,135285.82582450527,135285.82582450527,-230.75494340107906,-230.75494340107906,-230.75494340107906,-138.72484,-138.72484,-138.72484,135269.57750382245,135269.57750382245,135269.57750382245,135505.50591611143,135505.50591611143,135505.50591611143,17.69267310698344,17.69267310698344,17.69267310698344,-36.8221520006621,-36.8221520006621,-36.8221520006621,13.585985147432872,13.585985147432872,13.585985147432872,120.80121214703233,120.80121214703233,120.80121214703233,34.17194853578042,34.17194853578042,34.17194853578042,0.0,0.0,0.0,135965.7020708502
,,2024-09-24,24898.116788321167,24448.77372262774,26946.569343065694,5002.540145985402,22491058.562043797,23358361.13868613,1,2024-09-24,679.815530126374,134690.59981858727,136798.11042250515,677.4156362960975,682.7483179477764,0.9071890947095279,0.9071890947095279,0.9071890947095279,135033.26404605215,135033.26404605215,135033.26404605215,-377.345474882082,-377.345474882082,-377.345474882082,-138.72484,-138.72484,-138.72484,135105.56213272864,135105.56213272864,135105.56213272864,135505.39525595924,135505.39525595924,135505.39525595924,39.01042756415284,39.01042756415284,39.01042756415284,-66.03820638854393,-66.03820638854393,-66.03820638854393,3.6329413811798643,3.6329413811798643,3.6329413811798643,20.27951330216218,20.27951330216218,20.27951330216218,46.14724002136691,46.14724002136691,46.14724002136691,0.0,0.0,0.0,135713.0795761785
,,2024-09-25,26412.189781021898,25804.99270072993,29798.350364963506,4794.618,19139260.87591241,23358372.715328466,2,2024-09-25,679.7548139078004,134681.5594670658,136776.01729337842,677.272686177972,682.7782385915982,0.977503057442277,0.977503057442277,0.977503057442277,135048.86615318776,135048.86615318776,135048.86615318776,-349.5779120367415,-349.5779120367415,-349.5779120367415,-138.72484,-138.72484,-138.72484,135141.21445222772,135141.21445222772,135141.21445222772,135505.30905409213,135505.30905409213,135505.30905409213,34.5428563603947,34.5428563603947,34.5428563603947,-61.59941568365816,-61.59941568365816,-61.59941568365816,11.562366438147228,11.562366438147228,11.562366438147228,-10.683303753133993,-10.683303753133993,-10.683303753133993,57.05984471318358,57.05984471318358,57.05984471318358,0.0,0.0,0.0,135728.62096709557
,,2024-09-26,15540.576642335767,15209.912795620437,17871.299270072992,2512.569635036497,10575974.489051094,23358385.10948905,3,2024-09-26,679.6940976892267,134584.80798614435,136675.35059065427,677.0601600331452,682.8771764683671,1.7492335670900594,1.7492335670900594,1.7492335670900594,134949.16108747871,134949.16108747871,134949.16108747871,-548.9594494619752,-548.9594494619752,-548.9594494619752,-138.72484,-138.72484,-138.72484,134946.77871140192,134946.77871140192,134946.77871140192,135505.21676482962,135505.21676482962,135505.21676482962,53.227653547881616,53.227653547881616,53.227653547881616,-96.27622153851495,-96.27622153851495,-96.27622153851495,31.82073045782569,31.82073045782569,31.82073045782569,74.47378499970407,74.47378499970407,74.47378499970407,66.63343107707603,66.63343107707603,66.63343107707603,0.0,0.0,0.0,135628.85518516795
,,2024-09-27,18383.854014598543,17596.81754744526,24993.09489051095,2473.1094890510944,8479867.678832116,23358393.408759125,4,2024-09-27,679.633381470653,134629.91603855792,136755.78221254767,676.8600741874218,682.8572960119724,1.7625779812749789,1.7625779812749789,1.7625779812749789,135041.49055100203,135041.49055100203,135041.49055100203,-496.81474870999074,-496.81474870999074,-496.81474870999074,-138.72484,-138.72484,-138.72484,135000.48897270195,135000.48897270195,135000.48897270195,135505.15496689588,135505.15496689588,135505.15496689588,42.070720814054226,42.070720814054226,42.070720814054226,-88.46408294075428,-88.46408294075428,-88.46408294075428,36.77953866149565,36.77953866149565,36.77953866149565,105.10332713979184,105.10332713979184,105.10332713979184,74.6230911602839,74.6230911602839,74.6230911602839,0.0,0.0,0.0,135721.1239324727
